Time,Bnft_Vega_Pnl,Bnft_Vega,Nifty_Vega_Pnl,Nifty_Vega,Bnft_Delta_Pnl,Bnft_Delta,Nifty_Delta_Pnl,Nifty_Delta,Bnft_Theta_Pnl,Bnft_Theta,Nifty_Theta_Pnl,Nifty_Theta,Total_Bnft_Pnl,Total_Nifty_Pnl,Mean,Indicator,Beta,Regression_Error,Theo_Margin,Actual_Margin,Bnft_Slippage,Nifty_Slippage,Theo_P_Bnft,Actual_P_Bnft,Theo_C_Bnft,Actual_C_Bnft,Theo_P_Nifty,Actual_P_Nifty,Theo_C_Nifty,Actual_C_Nifty
12:32:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.336361,0.216032,0.621861,0.552549,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:33:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.336197,-0.0125298,0.621882,0.552044,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:33:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.335808,0.175163,0.621896,0.551449,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:34:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.335454,0.29766,0.621911,0.550844,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:34:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.335114,0.0830149,0.621926,0.550264,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:35:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.334488,0.00849014,0.621933,0.5496,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:35:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.333991,0.240867,0.621943,0.548966,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:36:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.333914,0.25717,0.621967,0.548491,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:36:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.333894,0.378031,0.621992,0.548051,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:37:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.334094,0.45874,0.622023,0.54776,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:37:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.334008,0.266847,0.622046,0.547309,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
